pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,datetime,aqi,pm25_log,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_roll_mean_3h,pm25_roll_std_3h,pm25_roll_mean_6h,pm25_roll_std_6h,pm25_roll_mean_12h,pm25_roll_std_12h,pm25_roll_mean_24h,pm25_roll_std_24h,pm10_lag_1h,pm10_lag_6h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_6h,carbon_monoxide_lag_1h,carbon_monoxide_lag_6h,wind_x,wind_y,hour_sin,hour_cos,month_sin,month_cos,stagnation_index,is_weekend,temp_diff_24h,hum_diff_24h
60.1,137.8,549.0,40.8,7.9,57.0,24.7,52.0,8.4,40.0,0.0,950.6,2026-05-09 01:00:00,153,4.11251186617755,4.104294893075269,4.07753744390572,4.034240638152395,3.962716119743664,3.742420221041966,3.6082115510464816,3.58351893845611,4.098114734386179,0.0182879283786216,4.052911182436694,0.0535116331170271,3.921738581183057,0.191314929424748,3.81446337583689,0.1861943287834663,146.2,144.4,37.8,23.0,737.0,770.0,6.434773322199416,5.39941592136693,0.2588190451025207,0.9659258262890684,0.8660254037844387,-0.4999999999999998,0.4375012623593138,1,0.6999999999999993,0.0
59.0,123.9,418.0,42.4,7.0,42.0,24.3,54.0,7.0,32.0,0.0,950.1,2026-05-09 02:00:00,153,4.0943445622221,4.11251186617755,4.104294893075269,4.07753744390572,3.981549068076757,3.683866912290392,3.6375861597263857,3.3250360206965914,4.103717107158307,0.0090974232989124,4.071710431460917,0.0420028032529472,3.9559450520107,0.181354581489523,3.8334949759408783,0.1906198848253227,137.8,140.6,40.8,29.4,549.0,871.0,5.936336673094981,3.7094348496324345,0.4999999999999999,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.5117930702777626,1,1.0,-1.0
58.0,112.2,386.0,41.9,5.9,31.0,24.1,56.0,6.6,22.0,0.0,949.7,2026-05-09 03:00:00,152,4.07753744390572,4.0943445622221,4.11251186617755,4.104294893075269,4.007333185232471,3.616308761279101,3.653252276470785,3.0955776085237074,4.094797957435123,0.0174916188138555,4.083411141239792,0.0278900053482468,3.994380775562918,0.1487794487716279,3.851173524584,0.1928386553320062,123.9,143.9,42.4,32.3,418.0,914.0,6.1194134401407965,2.472403516545019,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0.5365180847244369,1,1.5,-1.0
56.0,102.4,409.0,40.0,4.9,25.0,23.4,60.0,5.2,14.0,0.0,949.4,2026-05-09 04:00:00,151,4.04305126783455,4.07753744390572,4.0943445622221,4.11251186617755,4.034240638152395,3.561046082604052,3.653252276470785,2.923161580719156,4.071644424654124,0.0261494984504372,4.084879579520151,0.0248495679364705,4.034547874332126,0.0593278096361599,3.867415149224157,0.1918568827756869,112.2,144.8,41.9,33.5,386.0,919.0,5.045537776635181,1.2579938571182725,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.652105043199121,1,1.2999999999999972,2.0
60.8,143.9,464.0,25.7,7.5,62.0,23.6,64.0,0.7,360.0,0.0,949.3,2026-05-09 05:00:00,154,4.123903364463645,4.04305126783455,4.07753744390572,4.0943445622221,4.07753744390572,3.975936331171799,3.701301974112493,3.339321977944068,4.081497358734638,0.0405712469172693,4.092607232946473,0.02897638419202,4.04687846043978,0.0613797785315318,3.885023540488788,0.1953102044078313,102.4,146.7,40.0,35.0,409.0,873.0,0.7,-1.7145055188062944e-16,0.9659258262890684,0.2588190451025207,0.8660254037844387,-0.4999999999999998,2.425825508508027,1,1.400000000000002,6.0
58.0,121.1,574.0,23.4,10.9,88.0,24.6,60.0,1.1,9.0,0.0,949.9,2026-05-09 06:00:00,152,4.07753744390572,4.123903364463645,4.04305126783455,4.07753744390572,4.104294893075269,3.943521672487517,3.66612246699132,3.186352633162641,4.081497358734638,0.0405712469172693,4.088147658084881,0.0288767189929445,4.058046441391297,0.0523996108654301,3.902165831193555,0.1933065907522557,143.9,146.2,25.7,37.8,464.0,737.0,1.0864571746546516,0.1720779115442539,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,1.9416844970979616,1,1.7000000000000028,4.0
55.9,136.4,716.0,20.0,15.7,125.0,25.8,55.0,2.2,125.0,0.0,950.7,2026-05-09 07:00:00,151,4.041295341132285,4.07753744390572,4.123903364463645,4.04305126783455,4.11251186617755,3.962716119743664,3.594568774642695,3.025291075795536,4.080912049833883,0.0414072741623877,4.076278237244003,0.0313864638347291,4.064594709840349,0.0435692580378015,3.9207794381306216,0.1836675817256768,121.1,137.8,23.4,40.8,574.0,549.0,-1.2618681599723016,1.8021344974357816,0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,1.262904794103839,1,1.3000000000000007,3.0
56.9,181.6,798.0,16.4,19.5,158.0,27.9,47.0,5.2,124.0,0.0,951.7,2026-05-09 08:00:00,152,4.05871738457895,4.041295341132285,4.07753744390572,4.123903364463645,4.0943445622221,3.981549068076757,3.535145354171894,2.8678989020441064,4.0591833898723175,0.018125544793546,4.070340374303478,0.0306463463093089,4.071025402882198,0.0350620246341841,3.9425949393975817,0.1661283156945967,136.4,123.9,20.0,42.4,716.0,418.0,-2.907803098047883,4.3109953772862175,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.6546318362224113,1,1.599999999999998,-1.0
57.7,189.5,765.0,12.2,21.7,183.0,29.9,41.0,6.1,133.0,0.0,952.1,2026-05-09 09:00:00,152,4.072439726834051,4.05871738457895,4.041295341132285,4.07753744390572,4.07753744390572,4.007333185232471,3.770459441106359,2.8213788864092133,4.0574841508484285,0.0156087744318179,4.069490754791533,0.030477109642642,4.076450948015663,0.0287858306827997,3.955177451302902,0.1639455855975385,181.6,112.2,16.4,41.9,798.0,386.0,-4.16018999638124,4.46125757987694,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0.573583060117472,1,1.8999999999999984,-3.0
60.1,193.7,671.0,7.7,23.0,204.0,31.8,37.0,5.3,142.0,0.0,952.0,2026-05-09 10:00:00,153,4.11251186617755,4.072439726834051,4.05871738457895,4.041295341132285,4.04305126783455,4.034240638152395,3.856510295497887,2.8213788864092133,4.081222992530183,0.0279521176270226,4.0810675211820335,0.0315971881496645,4.082973550351093,0.0271745402140554,3.9658441834145552,0.1655669805538913,189.5,102.4,12.2,40.0,765.0,409.0,-4.176456994115626,3.263005819225989,0.4999999999999999,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.6527796612980238,1,2.2,-2.0
59.5,186.7,586.0,4.5,23.3,218.0,32.5,38.0,6.0,141.0,0.0,952.0,2026-05-09 11:00:00,153,4.102643365036796,4.11251186617755,4.072439726834051,4.05871738457895,4.123903364463645,4.07753744390572,3.87120101090789,2.8094026953624973,4.0958649860161325,0.0208783118212366,4.077524187944225,0.0266352691017748,4.085065710445349,0.0276797213997786,3.975487614836593,0.166552063104975,193.7,143.9,7.7,25.7,671.0,464.0,-4.662875768741825,3.775922346299025,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0.5860919092909709,1,1.8999999999999984,-1.0
54.4,165.3,529.0,3.3,22.0,223.0,33.8,35.0,5.0,145.0,0.0,951.6,2026-05-09 12:00:00,148,4.014579593753238,4.102643365036796,4.11251186617755,4.072439726834051,4.07753744390572,4.104294893075269,3.8044377947482086,2.791165107812717,4.076578274989195,0.0539186812240644,4.067031212918812,0.0370097133559918,4.077589435501847,0.0335147615805494,3.984243523128469,0.1626466860629553,186.7,121.1,4.5,23.4,586.0,574.0,-4.09576022144496,2.86788218175523,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.669096598958873,1,2.099999999999998,-2.0
49.2,143.9,481.0,3.3,19.6,221.0,35.0,33.0,4.3,147.0,0.0,950.9,2026-05-09 13:00:00,135,3.9160150266976834,4.014579593753238,4.102643365036796,4.11251186617755,4.041295341132285,4.11251186617755,3.742420221041966,2.760009940032921,4.011079328495906,0.0933633925072392,4.046151160513044,0.0726309689964541,4.061214698878524,0.0556161855971385,3.99147664003079,0.1551102987606558,165.3,136.4,3.3,20.0,529.0,716.0,-3.606283442165323,2.341947850564617,-0.2588190451025208,-0.9659258262890684,0.8660254037844387,-0.4999999999999998,0.73887075975428,1,2.3999999999999986,2.0
46.2,129.5,453.0,3.8,17.8,217.0,35.9,29.0,4.4,148.0,0.0,950.2,2026-05-09 14:00:00,127,3.85439389259151,3.9160150266976834,4.014579593753238,4.102643365036796,4.05871738457895,4.0943445622221,3.683866912290392,2.72785282839839,3.928329504347477,0.080799749281859,4.012097245181804,0.1058595420393945,4.041218809742641,0.0802858485119724,3.99858193087667,0.1439078813489845,143.9,181.6,3.3,16.4,481.0,798.0,-3.7314116230882735,2.3316447626261017,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0.7137766467762056,1,2.699999999999996,2.0
